127.0.0.1 - - [27/May/2021:09:19:53 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/May/2021:09:19:54 +0900] "GET /maven2/ HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/May/2021:09:19:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/May/2021:09:19:58 +0900] "GET /maven2/ HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/May/2021:09:19:59 +0900] "GET /maven2/ HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/May/2021:09:24:47 +0900] "GET /maven2/ HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/May/2021:09:24:48 +0900] "GET /maven2/ HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/May/2021:09:24:48 +0900] "GET /maven2/ HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/May/2021:09:24:48 +0900] "GET /maven2/ HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/May/2021:09:24:48 +0900] "GET /maven2/ HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/May/2021:09:24:50 +0900] "GET /maven2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2021:09:24:50 +0900] "GET /maven2/ HTTP/1.1" 404 818
